"Codigo","Descricao","Avista","CodigoExterno","UsuarioAlt","DataAlt","Taxa","Prazo"
1,BOLETO,0,"14",MASTER,2019-09-13 00:00:00.000,"0.0000",0
2,DINHEIRO,1,"01",MASTER,2019-09-13 00:00:00.000,"0.0000",0
3,CARTÃO DE CRÉDITO,0,"03",MASTER,2019-09-13 00:00:00.000,"0.0000",0
4,CARTÃO DE DÉBITO,1,"04",MASTER,2019-09-13 00:00:00.000,"0.0000",0
5,DEPÓSITO EM CONTA,1,"99",MASTER,2019-09-13 00:00:00.000,"0.0000",0
6,CHEQUE,0,"02",MASTER,2019-09-13 00:00:00.000,"0.0000",0
7,TRANSFERENCIA,1,"99",MASTER,2019-09-13 00:00:00.000,"0.0000",0
8,PIX (QR CODE),0,"17",master,2025-08-09 10:21:25.407,"0.0000",0
9,BOLETO SITE,1,"15",master,2025-08-22 15:24:02.967,"0.0000",0
10,PIX SITE,1,"17",master,2025-08-22 15:24:30.647,"0.0000",0
11,BOLETO SANTANDER,0,"15",master,2025-08-27 14:03:38.340,"0.0000",0
12,PIX,1,"17",master,2025-09-01 12:09:45.590,"0.0000",0
13,MERCADO PAGO,0,"03",master,2025-09-16 15:14:09.057,"0.0000",0
